card_name;set_name;set_code;card_number;url
"Enigmaras Blipp";"Ascended Heroes";"ASC";"069";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ionos-Tadbulb-ASC069?language=3"
"Enigmaras Wampitz ex";"Ascended Heroes";"ASC";"070";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ionos-Bellibolt-ex-V1-ASC070?language=3"
"Enigmaras Voltrel";"Ascended Heroes";"ASC";"071";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ionos-Wattrel-V1-ASC071?language=3"
"Enigmaras Voltrean";"Ascended Heroes";"ASC";"072";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ionos-Kilowattrel-ASC072?language=3"
"Miraidon ex";"Ascended Heroes";"ASC";"073";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Miraidon-ex-ASC073?language=3"
"Piepi";"Ascended Heroes";"ASC";"074";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Clefairy-ASC074?language=3"
"Pixi";"Ascended Heroes";"ASC";"075";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Clefable-ASC075?language=3"
"Lillys Piepi ex";"Ascended Heroes";"ASC";"076";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Lillies-Clefairy-ex-V1-ASC076?language=3"
"Team Rockets Owei";"Ascended Heroes";"ASC";"077";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Exeggcute-ASC077?language=3"
"Team Rockets Kokowei";"Ascended Heroes";"ASC";"078";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Exeggutor-ASC078?language=3"
"Team Rockets Mewtu ex";"Ascended Heroes";"ASC";"079";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Mewtwo-ex-V1-ASC079?language=3"
"Togepi";"Ascended Heroes";"ASC";"080";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Togepi-ASC080?language=3"
"Togetic";"Ascended Heroes";"ASC";"081";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Togetic-ASC081?language=3"
"Togekiss";"Ascended Heroes";"ASC";"082";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Togekiss-V1-ASC082?language=3"
"Marill";"Ascended Heroes";"ASC";"083";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Marill-V1-ASC083?language=3"
"Azumarill ex";"Ascended Heroes";"ASC";"084";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Azumarill-ex-ASC084?language=3"
"Traunfugil";"Ascended Heroes";"ASC";"085";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Misdreavus-V1-ASC085?language=3"
"Traunmagil";"Ascended Heroes";"ASC";"086";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mismagius-ASC086?language=3"
"Trasla";"Ascended Heroes";"ASC";"087";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ralts-ASC087?language=3"
"Kirlia";"Ascended Heroes";"ASC";"088";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Kirlia-ASC088?language=3"
"Mega Guardevoir ex";"Ascended Heroes";"ASC";"089";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Gardevoir-ex-ASC089?language=3"
"Shuppet";"Ascended Heroes";"ASC";"090";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Shuppet-ASC090?language=3"
"Banette";"Ascended Heroes";"ASC";"091";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Banette-V1-ASC091?language=3"
"Rotom";"Ascended Heroes";"ASC";"092";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Rotom-ASC092?language=3"
"Flauschling";"Ascended Heroes";"ASC";"093";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Swirlix-ASC093?language=3"
"Sabbaione";"Ascended Heroes";"ASC";"094";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Slurpuff-V1-ASC094?language=3"
"Hops Paragoni";"Ascended Heroes";"ASC";"095";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Hops-Phantump-ASC095?language=3"
"Hops Trombork";"Ascended Heroes";"ASC";"096";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Hops-Trevenant-V1-ASC096?language=3"
"Team Rockets Mimigma";"Ascended Heroes";"ASC";"097";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Mimikyu-V1-ASC097?language=3"
"Phantoross";"Ascended Heroes";"ASC";"098";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Spectrier-ASC098?language=3"
"Benesaru";"Ascended Heroes";"ASC";"099";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Munkidori-ASC099?language=3"
"Team Rockets Digda";"Ascended Heroes";"ASC";"100";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Diglett-ASC100?language=3"
"Team Rockets Digdri";"Ascended Heroes";"ASC";"101";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Dugtrio-V1-ASC101?language=3"
"Kapoera";"Ascended Heroes";"ASC";"102";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Hitmontop-V1-ASC102?language=3"
"Meditie";"Ascended Heroes";"ASC";"103";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Meditite-ASC103?language=3"
"Meditalis";"Ascended Heroes";"ASC";"104";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Medicham-V1-ASC104?language=3"
"Lunastein";"Ascended Heroes";"ASC";"105";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Lunatone-ASC105?language=3"
"Sonnfel";"Ascended Heroes";"ASC";"106";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Solrock-ASC106?language=3"
"Regirock ex";"Ascended Heroes";"ASC";"107";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Regirock-ex-ASC107?language=3"
"Groudon";"Ascended Heroes";"ASC";"108";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Groudon-ASC108?language=3"
"Cynthias Kaumalat";"Ascended Heroes";"ASC";"109";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Cynthias-Gible-ASC109?language=3"
"Cynthias Knarksel";"Ascended Heroes";"ASC";"110";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Cynthias-Gabite-ASC110?language=3"
"Cynthias Knakrack ex";"Ascended Heroes";"ASC";"111";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Cynthias-Garchomp-ex-ASC111?language=3"
"Riolu";"Ascended Heroes";"ASC";"112";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Riolu-ASC112?language=3"
"Mega Lucario ex";"Ascended Heroes";"ASC";"113";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Lucario-ex-ASC113?language=3"
"Flunschlik ex";"Ascended Heroes";"ASC";"114";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Stunfisk-ex-V1-ASC114?language=3"
"Pam-Pam";"Ascended Heroes";"ASC";"115";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Pancham-ASC115?language=3"
"Mega Resladero ex";"Ascended Heroes";"ASC";"116";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Hawlucha-ex-V1-ASC116?language=3"
"Rocara";"Ascended Heroes";"ASC";"117";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Carbink-V1-ASC117?language=3"
"Klonkett";"Ascended Heroes";"ASC";"118";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Rolycoly-ASC118?language=3"
"Wagong";"Ascended Heroes";"ASC";"119";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Carkol-ASC119?language=3"
"Montecarbo";"Ascended Heroes";"ASC";"120";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Coalossal-ASC120?language=3"
"Koraidon ex";"Ascended Heroes";"ASC";"121";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Koraidon-ex-ASC121?language=3"
"Boninu";"Ascended Heroes";"ASC";"122";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Okidogi-ASC122?language=3"
"Nebulak";"Ascended Heroes";"ASC";"123";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Gastly-ASC123?language=3"
"Alpollo";"Ascended Heroes";"ASC";"124";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Haunter-ASC124?language=3"
"Mega Gengar ex";"Ascended Heroes";"ASC";"125";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Gengar-ex-V1-ASC125?language=3"
"Team Rockets Kramurx";"Ascended Heroes";"ASC";"126";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Murkrow-ASC126?language=3"
"Team Rockets Kramshef";"Ascended Heroes";"ASC";"127";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Honchkrow-ASC127?language=3"
"Fiffyen";"Ascended Heroes";"ASC";"128";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Poochyena-ASC128?language=3"
"Magnayen";"Ascended Heroes";"ASC";"129";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mightyena-V1-ASC129?language=3"
"Galar-Zigzachs";"Ascended Heroes";"ASC";"130";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Galarian-Zigzagoon-ASC130?language=3"
"Galar-Geradaks";"Ascended Heroes";"ASC";"131";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Galarian-Linoone-ASC131?language=3"
"Galar-Barrikadax";"Ascended Heroes";"ASC";"132";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Galarian-Obstagoon-V1-ASC132?language=3"
"Cynthias Kryppuk";"Ascended Heroes";"ASC";"133";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Cynthias-Spiritomb-V1-ASC133?language=3"
"Zurrokex";"Ascended Heroes";"ASC";"134";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Scraggy-ASC134?language=3"
"Mega Irokex ex";"Ascended Heroes";"ASC";"135";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Scrafty-ex-V1-ASC135?language=3"
"Ns Zorua";"Ascended Heroes";"ASC";"136";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ns-Zorua-ASC136?language=3"
"Ns Zoroark ex";"Ascended Heroes";"ASC";"137";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ns-Zoroark-ex-V1-ASC137?language=3"
"Skallyk";"Ascended Heroes";"ASC";"138";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Vullaby-ASC138?language=3"
"Grypheldis ex";"Ascended Heroes";"ASC";"139";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mandibuzz-ex-ASC139?language=3"
"Pandagro";"Ascended Heroes";"ASC";"140";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Pangoro-ASC140?language=3"
"Hoopa";"Ascended Heroes";"ASC";"141";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Hoopa-ASC141?language=3"
"Beatori ex";"Ascended Heroes";"ASC";"142";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Fezandipiti-ex-V1-ASC142?language=3"
"Infamomo";"Ascended Heroes";"ASC";"143";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Pecharunt-ASC143?language=3"
"Flunkifer";"Ascended Heroes";"ASC";"144";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mawile-V1-ASC144?language=3"
"Registeel ex";"Ascended Heroes";"ASC";"145";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Registeel-ex-ASC145?language=3"
"Gladiantri";"Ascended Heroes";"ASC";"146";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Pawniard-ASC146?language=3"
"Caesurio";"Ascended Heroes";"ASC";"147";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Bisharp-ASC147?language=3"
"Gladimperio";"Ascended Heroes";"ASC";"148";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Kingambit-ASC148?language=3"
"Togedemaru ex";"Ascended Heroes";"ASC";"149";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Togedemaru-ex-ASC149?language=3"
"Dratini";"Ascended Heroes";"ASC";"150";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Dratini-ASC150?language=3"
"Dragonir";"Ascended Heroes";"ASC";"151";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Dragonair-ASC151?language=3"
"Mega Dragoran ex";"Ascended Heroes";"ASC";"152";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Dragonite-ex-V1-ASC152?language=3"
"Rayquaza";"Ascended Heroes";"ASC";"153";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Rayquaza-ASC153?language=3"
"Ns Reshiram";"Ascended Heroes";"ASC";"154";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ns-Reshiram-ASC154?language=3"
"Ns Zekrom";"Ascended Heroes";"ASC";"155";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ns-Zekrom-V1-ASC155?language=3"
"eF-eM";"Ascended Heroes";"ASC";"156";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Noibat-ASC156?language=3"
"UHaFnir";"Ascended Heroes";"ASC";"157";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Noivern-ASC157?language=3"
"Grolldra";"Ascended Heroes";"ASC";"158";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Dreepy-V1-ASC158?language=3"
"Phandra";"Ascended Heroes";"ASC";"159";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Drakloak-V1-ASC159?language=3"
"Katapuldra ex";"Ascended Heroes";"ASC";"160";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Dragapult-ex-ASC160?language=3"
"Team Rockets Mauzi";"Ascended Heroes";"ASC";"161";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Meowth-ASC161?language=3"
"Team Rockets Kangama ex";"Ascended Heroes";"ASC";"162";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Kangaskhan-ex-ASC162?language=3"
"Aokis Dummisel";"Ascended Heroes";"ASC";"163";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Larrys-Dunsparce-ASC163?language=3"
"Aokis Dummimisel ex";"Ascended Heroes";"ASC";"164";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Larrys-Dudunsparce-ex-ASC164?language=3"
"Eneco";"Ascended Heroes";"ASC";"165";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Skitty-ASC165?language=3"
